,import,date,time,name,message_text
0,"2022-05-10, 08:30 p.m. - John: Hey love, just wanted to let you know that you are on my mind constantly.
",2022-05-10,08:30 p.m.,John,"Hey love, just wanted to let you know that you are on my mind constantly."
1,"2022-05-10, 08:31 p.m. - Sarah: Aww, you always know how to make my heart flutter! I miss you so much.
",2022-05-10,08:31 p.m.,Sarah,"Aww, you always know how to make my heart flutter! I miss you so much."
2,"2022-05-10, 08:32 p.m. - John: I miss you too, darling. Every moment without you feels incomplete.
",2022-05-10,08:32 p.m.,John,"I miss you too, darling. Every moment without you feels incomplete."
3,"2022-05-10, 08:33 p.m. - Sarah: Remember when we watched the stars together last summer? It was magical.
",2022-05-10,08:33 p.m.,Sarah,Remember when we watched the stars together last summer? It was magical.
4,"2022-05-10, 08:34 p.m. - John: Yes, I will never forget that night. It felt like the universe was conspiring to bring us closer.
",2022-05-10,08:34 p.m.,John,"Yes, I will never forget that night. It felt like the universe was conspiring to bring us closer."
5,"2022-05-10, 08:35 p.m. - Sarah: I wish we could relive that moment every day. It was pure bliss being in your arms.
",2022-05-10,08:35 p.m.,Sarah,I wish we could relive that moment every day. It was pure bliss being in your arms.
6,"2022-05-10, 08:36 p.m. - John: Me too, my love. But even when we're apart, you're always in my heart.
",2022-05-10,08:36 p.m.,John,"Me too, my love. But even when we're apart, you're always in my heart."
7,"2022-05-10, 08:37 p.m. - Sarah: You're my rock, John. Knowing you're there for me makes everything seem possible.
",2022-05-10,08:37 p.m.,Sarah,"You're my rock, John. Knowing you're there for me makes everything seem possible."
8,"2022-05-10, 08:38 p.m. - John: And you're my guiding light, Sarah. With you by my side, I feel invincible.
",2022-05-10,08:38 p.m.,John,"And you're my guiding light, Sarah. With you by my side, I feel invincible."
9,"2022-05-10, 08:39 p.m. - Sarah: Let's promise to always support and cherish each other, no matter what life throws our way.
",2022-05-10,08:39 p.m.,Sarah,"Let's promise to always support and cherish each other, no matter what life throws our way."
10,"2022-05-10, 08:40 p.m. - John: I promise, my love. Together, we can conquer anything.
",2022-05-10,08:40 p.m.,John,"I promise, my love. Together, we can conquer anything."
11,"2022-05-10, 08:41 p.m. - Sarah: Forever and always.
",2022-05-10,08:41 p.m.,Sarah,Forever and always.
12,"2022-05-10, 08:42 p.m. - John: Forever and always.
",2022-05-10,08:42 p.m.,John,Forever and always.
13,"2023-02-14, 10:00 a.m. - Sarah: Good morning sunshine! Happy Valentine's Day to the most amazing boyfriend a girl could ask for.
",2023-02-14,10:00 a.m.,Sarah,Good morning sunshine! Happy Valentine's Day to the most amazing boyfriend a girl could ask for.
14,"2023-02-14, 10:05 a.m. - John: Good morning beautiful! Woke up thinking about you too. Your message made my day already.  What are you up to today?
",2023-02-14,10:05 a.m.,John,Good morning beautiful! Woke up thinking about you too. Your message made my day already.  What are you up to today?
15,"2023-02-14, 10:10 a.m. - Sarah: Just getting some work done at home this morning. But I'm definitely planning on taking some time off later to celebrate with you! Any special plans in mind?
",2023-02-14,10:10 a.m.,Sarah,Just getting some work done at home this morning. But I'm definitely planning on taking some time off later to celebrate with you! Any special plans in mind?
